Time,3YO,4YO,5YO
Jan-19,94000,78000,58000
Mar,84000,70000,60000
May,88000,69000,56000
Jul,80000,60000,50000
Sep,77000,57000,45000
Nov,72000,63000,42000
Jan-20,80000,54000,46000
Mar,88000,58000,44000
May,91000,52000,41000
Jul,82000,54000,39000
Sep,76000,50000,41000
Nov,71000,52000,48000
Jan-21,89000,64000,50000
Mar,94000,72000,52000
May,92000,75000,57000
Jul,98000,82000,64000
Sep,100000,84000,70000
Nov,107000,92000,77000
Jan-22,119000,110000,95000
Mar,153000,135000,114000
May,166000,143000,116000
Jul,152000,131000,107000
Sep,140000,115000,98000
Nov,127000,105000,87000
Jan-23,116000,94000,75000
Mar,106000,85000,67000
May,99000,82000,62000
Jul,96000,76000,57000
Sep,90000,71000,52000
Nov,88000,64000,48000
Jan-24,96000,69000,53000
Mar,118000,77000,57000
May,106000,74000,54000
Jul,96000,65000,50000
Sep,94000,62000,45000
Nov,85000,59000,43000
