Month,3YO,4YO,5YO,3-5YO Avg.
Jan-19,95000,78000,62000,78000
Mar,82000,70000,58000,74000
May,94000,72000,60000,75000
Jul,87000,73000,57000,73000
Sep,81000,70000,53000,70000
Nov,76000,65000,47000,66000
Jan-20,90000,67000,42000,66000
Mar,85000,62000,48000,63000
May,85000,63000,42000,60000
Jul,78000,58000,40000,56000
Sep,72000,55000,38000,54000
Nov,72000,54000,40000,54000
Jan-21,93000,65000,45000,64000
Mar,95000,67000,50000,66000
May,100000,73000,54000,70000
Jul,105000,77000,60000,74000
Sep,110000,82000,65000,78000
Nov,120000,88000,72000,86000
Jan-22,120000,92000,75000,92000
Mar,150000,130000,112000,128000
May,165000,140000,115000,138000
Jul,155000,140000,105000,128000
Sep,140000,120000,95000,115000
Nov,120000,110000,80000,105000
Jan-23,130000,105000,78000,96000
