Month,4YO,5YO,3-5YO Avg.
Jan-16,70000,57000,73000
Mar,66000,48000,79000
May,64000,45000,76000
Jul,60000,41000,73000
Sep,59000,48000,68000
Nov,54000,45000,67000
Jan-17,63000,41000,71000
Mar,62000,46000,79000
May,61000,44000,80000
Jul,55000,43000,71000
Sep,53000,41000,69000
Nov,50000,40000,67000
Jan-18,68000,43000,74000
Mar,67000,45000,84000
May,65000,50000,91000
Jul,63000,47000,82000
Sep,63000,48000,78000
Nov,62000,52000,76000
Jan-19,70000,50000,78000
Mar,73000,45000,95000
May,70000,48000,90000
Jul,68000,44000,82000
Sep,64000,43000,79000
Nov,61000,42000,75000
Jan-20,67000,50000,68000
Mar,63000,43000,60000
May,52000,44000,58000
