Date,3YO,4YO,5YO
Jan-19,95000,78000,62000
Mar,82000,68000,58000
May,94000,70000,60000
Jul,85000,68000,54000
Sep,82000,62000,47000
Nov,75000,58000,44000
Jan-20,74000,63000,43000
Mar,85000,55000,38000
May,82000,53000,38000
Jul,78000,51000,39000
Sep,72000,54000,40000
Nov,72000,52000,39000
Jan-21,74000,63000,48000
Mar,88000,73000,52000
May,93000,73000,51000
Jul,95000,77000,55000
Sep,103000,83000,66000
Nov,113000,92000,74000
Jan-22,120000,98000,77000
Mar,128000,125000,109000
May,149000,136000,114000
Jul,166000,140000,114000
Sep,152000,144000,106000
Nov,140000,136000,98000
Jan-23,128000,116000,87000
Mar,132000,108000,87000
May,111000,77000,64000
