Date,3YD,4YD,5YD
Jan-19,96000,78000,60000
Mar-19,84000,70000,60000
May-19,94000,70000,58000
Jul-19,88000,68000,56000
Sep-19,80000,64000,52000
Nov-19,78000,62000,50000
Jan-20,70000,62000,48000
Mar-20,66000,58000,44000
May-20,60000,54000,42000
Jul-20,58000,52000,40000
Sep-20,56000,50000,38000
Nov-20,56000,50000,38000
Jan-21,90000,64000,44000
Mar-21,84000,70000,46000
May-21,86000,72000,50000
Jul-21,92000,78000,56000
Sep-21,102000,86000,64000
Nov-21,116000,96000,72000
Jan-22,124000,106000,80000
Mar-22,168000,142000,114000
May-22,156000,136000,112000
Jul-22,146000,124000,106000
Sep-22,144000,122000,102000
Nov-22,136000,116000,98000
Jan-23,130000,110000,92000
Mar-23,118000,104000,86000
May-23,110000,98000,80000
Jul-23,104000,94000,76000
Sep-23,102000,92000,74000
Nov-23,96000,86000,68000
Jan-24,90000,80000,60000
Mar-24,118000,76000,72000
