Month,3YO,4YO,5YO
Jan-19,95000,78000,61000
Mar,84000,70000,58000
May,95000,69000,57000
Jul,88000,65000,53000
Sep,81000,62000,50000
Nov,79000,60000,47000
Jan-20,89000,64000,45000
Mar,81000,57000,42000
May,76000,53000,40000
Jul,72000,53000,39000
Sep,72000,51000,40000
Nov,72000,51000,40000
Jan-21,89000,63000,47000
Mar,95000,70000,53000
May,100000,76000,59000
Jul,105000,83000,65000
Sep,115000,90000,71000
Nov,120000,95000,76000
Jan-22,125000,115000,95000
Mar,145000,135000,115000
May,165000,142000,118000
Jul,155000,138000,115000
Sep,145000,128000,110000
Nov,138000,118000,105000
Jan-23,132000,109000,95000
Mar,115000,90000,78000
May,112000,87000,75000
Jul,108000,83000,71000
Sep,98000,75000,65000
Nov,93000,70000,61000
Jan-24,120000,78000,53000
Mar,110000,72000,54000
May,95000,72000,55000
